Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Url/catalog/-487,5844,18901,7427,43087,43463,143510,304,928400,0.856%,1.59243,9.96,0.71
Sign_IN/account/signonForm-492,5814,1086,568,809,859,2232,202,881696,0.034%,1.58575,9.79,0.82
Login/account/signon-495,5813,1530,985,1318,1405,2262,415,883425,0.017%,1.58568,11.20,2.02
Click_On_Fish/catalog/categories/FISH-504,5812,1027,470,792,824,1223,200,881421,0.034%,1.58581,9.76,0.83
Product_ID/catalog/products/FI-SW-01-507,5810,557,482,795,825,1228,126,17077,0.017%,1.58553,9.90,0.86
Item_ID/catalog/items/EST-1-513,5809,720,468,791,825,1210,76,881473,0.069%,1.58542,9.86,0.85
Add_To_Cart/cart/addItemToCart-516,5805,1786,944,1321,1398,2010,400,883354,0.052%,1.58469,10.99,1.69
Proceed_To_Checkout/order/newOrderForm-521,5802,1028,986,1332,1447,2138,56,186950,0.034%,1.58430,10.92,1.71
Payment_Details_Continue/order/newOrder-525,5800,1696,992,1335,1472,2189,84,902865,0.017%,1.58426,10.92,2.42
Order_Confirm/order/submitOrder-529,5799,1358,993,1325,1428,2077,410,881759,0.017%,1.58435,10.92,2.04
Sign_out/account/signoff-533,5798,1358,996,1332,1445,2215,405,883445,0.069%,1.58451,11.07,1.73
TOTAL,63906,2832,791,1357,3259,43083,56,928400,0.111%,17.41371,115.11,15.65
